time,at,ah,gt,gh
0,29.6,50.4,28.23,45.62
5,29.6,50.4,28.33,45.34
10,29.6,50.4,28.39,45.17
15,29.6,50.4,28.43,45.07
20,29.6,50.4,28.46,45.03
25,29.6,50.4,28.48,44.96
30,32,50.4,28.5,44.9
35,32,50.4,28.53,44.87
40,32,50.4,28.55,44.83
45,32,50.4,28.57,44.83
50,32,50.4,28.59,44.83
55,32,50.4,28.59,44.83
60,32,50.4,28.61,44.8
65,32,50.4,28.64,44.86
70,32,50.4,28.64,44.82
75,32,50.4,28.64,44.82
80,32,50.4,28.64,44.79
85,32,50.4,28.65,44.75
90,32,50.4,28.67,44.75
95,32,50.4,28.68,44.75
100,32.9,46.1,28.69,44.75
105,32.9,46.1,28.7,44.75
110,32.9,46.1,28.71,44.75
115,32.9,46.1,28.72,44.75
120,32.9,46.1,28.72,44.75
125,32.9,46.1,28.73,44.75
130,32.9,46.1,28.74,44.75
135,32.9,46.1,28.74,44.75
140,32.9,45.3,28.76,44.75
145,32.9,45.3,28.77,44.75
150,32.9,45.3,28.77,44.75
155,32.9,45.3,28.78,44.75
160,32.9,45.3,28.79,44.75
165,32.9,45.3,28.79,44.77
170,35,46.4,28.8,44.77
175,35,46.4,28.82,44.77
180,35,46.4,28.82,44.77
185,35,46.4,28.83,44.77
190,35.7,49.7,28.84,44.77
195,35.7,49.7,28.84,44.77
200,35.7,49.7,28.85,44.77
205,35.7,49.7,28.86,44.77
210,35.7,49.7,28.87,44.77
215,35.7,49.7,28.88,44.77
220,35.7,49.7,28.89,44.77
225,35.7,49.7,28.89,44.77
230,35.7,49.7,28.9,44.74
235,35.7,49.7,28.91,44.74
240,39.3,45.3,28.91,44.77
245,39.3,45.3,28.92,44.74
250,39.3,45.3,28.93,44.74
255,39.3,44.1,28.93,44.74
260,39.3,44.1,28.94,44.74
265,39.7,43.3,28.94,44.74
270,39.7,43.3,28.95,44.74
275,39.7,43.3,28.97,44.74
280,39.7,43.3,28.98,44.74
285,39.7,43.3,28.98,44.77
290,39.7,43.3,28.99,44.73
295,40,40.3,29,44.73
300,40,40.3,29.01,44.73
305,40,40.3,29.02,44.73
310,40,40.3,29.03,44.73
315,40,40.3,29.03,44.73
320,40,40.3,29.05,44.73
325,40,40.3,29.05,44.73
330,40,40.3,29.06,44.73
335,40,40.3,29.07,44.73
340,40,40.3,29.08,44.7
345,40,40.3,29.09,44.7
350,40,40.3,29.11,44.7
355,41.3,40.1,29.12,44.7
360,41.3,40.1,29.13,44.7
365,41.3,40.1,29.14,44.7
370,41.3,40.2,29.15,44.7
375,41.3,40.2,29.16,44.72
